table,field,classification,source,source_url,derivation_method,generation_method,assumption,validation_method,confidence
stations,station_code,A,DataMeet Indian Railways stations.json (CC0),https://github.com/datameet/railways,,,,"non-empty, unique, matches source",1.0
stations,station_name,A,DataMeet stations.json property `name`,https://github.com/datameet/railways,,,,non-empty,1.0
stations,latitude,A,DataMeet stations.json Point geometry,https://github.com/datameet/railways,,,,6 < lat < 38 (India bounds),1.0
stations,longitude,A,DataMeet stations.json Point geometry,https://github.com/datameet/railways,,,,68 < lon < 98 (India bounds),1.0
stations,zone,A,DataMeet stations.json property `zone`,https://github.com/datameet/railways,,,,,1.0
stations,state,A,DataMeet stations.json property `state`,https://github.com/datameet/railways,,,,,1.0
stations,is_junction,B,Derived from corridor topology,https://github.com/datameet/railways,"degree > 2 in the corridor graph, or name contains 'Junction'",,,,1.0
stations,seq,B,Position along the corridor,https://github.com/datameet/railways,order of appearance in the supported station sequence,,,,1.0
sections,section_id,B,Derived,https://github.com/datameet/railways,'{from_code}-{to_code}-{line}',,,,1.0
sections,from_station_code,A,DataMeet schedules.json,https://github.com/datameet/railways,,,,,1.0
sections,to_station_code,A,DataMeet schedules.json,https://github.com/datameet/railways,,,,,1.0
sections,line,B,Track configuration,https://www.openstreetmap.org,"UP/DN for a double line, SINGLE for a single line",,,,1.0
sections,length_km,B,Derived from real station coordinates,https://github.com/datameet/railways,"haversine between consecutive station coordinates, then scaled so the corridor total matches the published route distance from trains.json where available",,,> 0; corridor total within 15% of published distance,1.0
sections,tracks,A/E,"OpenStreetMap `tracks` where mapped, else config fallback",https://www.openstreetmap.org,,,where OSM has no `tracks` tag the configured fallback is used and the row is flagged,,1.0
sections,electrified,A/E,"OpenStreetMap `electrified=contact_line`, else config",https://www.openstreetmap.org,,,Salem division is publicly stated to be entirely electrified on broad gauge,,1.0
sections,headway_min,B/E,Derived from the real timetable,https://github.com/datameet/railways,5th percentile of observed gaps between consecutive real trains on the section-line; falls back to the configured default when too few movements are observed,,,,0.6
sections,degraded_factor,E,Modelling assumption,,,,headway multiplier when one line of a double line is blocked,,1.0
sections,support_trains,B,Evidence count,https://github.com/datameet/railways,number of distinct real trains traversing this station pair,,,,1.0
trains,train_number,A,DataMeet schedules.json `train_number`,https://github.com/datameet/railways,,,,matches a real train in the source,1.0
trains,train_name,A,DataMeet schedules.json `train_name`,https://github.com/datameet/railways,,,,,1.0
trains,train_class,B,Classified from the real train name,https://github.com/datameet/railways,keyword match on the published train name and trains.json `type`,,,,0.75
trains,is_synthetic,D,Freight generator flag,,,true only for generated freight paths; false for every real train,,,1.0
train_stops,arrival_min,A,DataMeet schedules.json `arrival`,https://github.com/datameet/railways,,,,parses as HH:MM:SS; arrival <= departure at a stop,1.0
train_stops,departure_min,A,DataMeet schedules.json `departure`,https://github.com/datameet/railways,,,,,1.0
train_stops,day,A,DataMeet schedules.json `day`,https://github.com/datameet/railways,,,,,1.0
train_stops,stop_seq,B,Order within the train's real stop list,https://github.com/datameet/railways,,,,,1.0
movements,section_id,B,Real train mapped onto a derived section,https://github.com/datameet/railways,consecutive real stops define the section traversed,,,,1.0
movements,enter_min,A/B,Real departure time from the first station,https://github.com/datameet/railways,,,,,1.0
movements,direction,B,Derived,https://github.com/datameet/railways,ascending or descending corridor sequence,,,,1.0
activities,protection_T/P/D,C,Indian Railways manuals,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/ACTraction-II-P-I/ACTractionIIPartICh6.htm,per-activity protection regime; see config/activities.yaml for the source on each row,,,,0.88
activities,min_block_min,C/E,"IRTMM where published, else assumption",https://indianrailways.gov.in/railwayboard/uploads/codesmanual/IRTMM-RDSO/,,,"only DEEP_SCREENING has a published minimum (four hours, IRTMM Ch.3); all others are assumptions",,0.88
activities,duration_mean/sd,E,Modelling assumption,,,,no per-activity working times were found in public sources,,1.0
activities,periodicity_days,E,Modelling assumption,,,,no public per-activity periodicity table was obtainable,,1.0
jobs,job_id,D,Generated,,,"sequential, seed-stable",,,1.0
jobs,dept,C,Department that owns the activity,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/IRTMM-RDSO/,from the activity catalogue; never set independently of it,,,must equal activities.dept for the job's activity,1.0
jobs,activity,D,Sampled from the activity catalogue,,,Poisson arrivals with rate = assets x horizon / periodicity,,,1.0
jobs,section_id,D,Placed on a REAL section,https://github.com/datameet/railways,,"uniform over asset instances of the right type; the section itself is real, the placement is synthetic",,,1.0
jobs,location_desc,B,Human-readable location,https://github.com/datameet/railways,real station codes plus the synthetic km offset,,,,1.0
jobs,km_from/km_to,D,Generated within a real section,,,"uniform start, footprint length from the activity catalogue",,0 <= km_from < km_to <= section length,1.0
jobs,needs_T/needs_P/needs_D,C,Protection regime from the catalogue,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/ACTraction-II-P-I/ACTractionIIPartICh6.htm,copied from activities.csv so two jobs of the same activity can never disagree,,,must equal the catalogue row,0.88
