table,column,datatype,provenance_class,example
activities,activity_id,string,C/E,THROUGH_TAMPING
activities,dept,string,C,ENGG
activities,label,string,C/E,Through tamping (plain line)
activities,asset,string,C/E,TRACK_KM
activities,needs_T,int(0/1),C,1
activities,needs_P,int(0/1),C,0
activities,needs_D,int(0/1),C,0
activities,needs_train_movements,int(0/1),C,0
activities,needs_live_ohe,int(0/1),C,0
activities,duration_mean_min,float,E,65
activities,duration_sd_min,float,E,12
activities,periodicity_days,int,E,240
activities,min_block_min,int,C/E,150
activities,min_block_provenance,string,C/E,E
activities,resource_class,string,C/E,TAMPER
activities,criticality_base,float,E,1.4
activities,protection_source,string,C,IRTMM Ch.5 - machine works under traffic block; 
block_requests,request_id,string,D,R00068
block_requests,job_id,string,D,J00068
block_requests,department,string,D,ENGG
block_requests,preferred_date,int,D,0
block_requests,preferred_window_start_min,int,D,780
block_requests,minimum_duration_min,int,D,60
block_requests,requested_duration_min,int,D,150
block_requests,protection_type,string,D,T
block_requests,deadline_day,int,D,0
block_requests,priority,string,D,URGENT
block_requests,reason,string,D,defect requiring early attention
block_requests,provenance,string,D,D:synthesised_from_job
execution,realisation,int,D,0
execution,job_id,string,D,J00068
execution,actual_duration_min,float,D,38.2
jobs,job_id,string,D,J00068
jobs,dept,string,C,ENGG
jobs,activity,string,D,TURNOUT_TAMPING
jobs,section_id,string,D,SCAFFOLD-04-SCAFFOLD-05-UP
jobs,location_desc,string,B,SCAFFOLD-04-SCAFFOLD-05 UP km 4.69
jobs,km_from,float,D,4.694
jobs,km_to,float,D,5.168
jobs,needs_T,int(0/1),C,1
jobs,needs_P,int(0/1),C,0
jobs,needs_D,int(0/1),C,0
jobs,needs_train_movements,int(0/1),C,0
jobs,needs_live_ohe,int(0/1),C,0
jobs,duration_mean_min,float,D/E,43.6
jobs,duration_sd_min,float,D/E,13.8
jobs,duration_min_min,float,E,30.0
jobs,duration_max_min,float,E,130.0
jobs,min_block_min,int,C/E,150
jobs,resources,string,C/E,TAMPER_1
jobs,due_day,int,D,0
jobs,criticality,float,D/E,1.369
jobs,priority,string,B,URGENT
jobs,uncertainty_level,string,B,HIGH
jobs,provenance,string,D,D:poisson_from_periodicity
movements,train_number,string,A/B,90000
movements,train_class,string,A/B,EXPRESS
movements,from_code,string,A/B,SCAFFOLD-00
movements,to_code,string,A/B,SCAFFOLD-02
movements,direction,string,B,DN
movements,enter_min,int,A/B,1103
movements,is_synthetic,int(0/1),D,False
pairing_rules,activity,string,C,THROUGH_TAMPING
pairing_rules,compelled_dept,string,C,TRD
pairing_rules,companion_activity,string,C,OHE_HEIGHT_ADJUSTMENT
pairing_rules,duration_mean_min,float,E,25
pairing_rules,duration_sd_min,float,E,8
pairing_rules,must_follow_parent,int(0/1),C,1
pairing_rules,precedes_parent,int(0/1),C,0
pairing_rules,source,string,C,ACTM Ch.17 - due notice to OHE staff before any 
pairing_rules,confidence,float,C,0.9
resources,resource_class,string,E,TAMPER
resources,fleet_size,int,E,2
resources,provenance,string,E,E
sections,section_id,string,B,SCAFFOLD-00-SCAFFOLD-01-UP
sections,from_station_code,string,A,SCAFFOLD-00
sections,to_station_code,string,A,SCAFFOLD-01
sections,line,string,B,UP
sections,length_km,float,B,9.449
sections,tracks,int,A/E,2
sections,electrified,int(0/1),A/E,1
sections,is_single,int(0/1),B,0
sections,headway_min,int,B/E,5
sections,degraded_factor,float,E,2.5
sections,support_trains,int,B,27
sections,track_source,string,B,declared
stations,station_code,string,A,SCAFFOLD-00
stations,station_name,string,A,Scaffold Placeholder 00
stations,latitude,float,A,12.55707
stations,longitude,float,A,78.41843
stations,zone,string,A,SCAFFOLD
stations,state,string,A,SCAFFOLD
stations,seq,int,B,0
stations,is_junction,int(0/1),B,0
train_stops,train_number,string,A,90000
train_stops,train_name,string,A,SCAFFOLD EXPRESS 00
train_stops,station_code,string,A,SCAFFOLD-00
train_stops,arrival_min,int,A,1103
train_stops,departure_min,int,A,1103
train_stops,day,int,A,1
train_stops,stop_seq,int,B,0
trains,train_number,string,A,90000
trains,train_name,string,A,SCAFFOLD EXPRESS 00
trains,train_class,string,B,EXPRESS
trains,is_synthetic,int(0/1),D,False
trains,direction,string,B,DN
scenarios,scenario,string,E,NORMAL_TRAFFIC
scenarios,demand_scale,string,E,1.0
scenarios,freight_scale,string,E,1.0
scenarios,uncertainty_scale,string,E,1.0
scenarios,urgency_shift,string,E,0
scenarios,backlog,string,E,1.0
scenarios,note,string,E,"Baseline. Real timetable, ordinary maintenance l"
